codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,timestamp_captura
A991G33,LTS1G33,0,-22.7966813,-43.1934249,2021-01-03 17:33:30,0,,,,2021-02-24 17:17:36.734128
A995E07,LMO5E07,0,-23.0009058,-43.3637108,2021-02-24 13:10:45,0,,,,2021-02-24 17:17:36.734128
A999E59,LUH9E59,0,-23.0209888,-43.4962666,2021-02-23 21:33:00,44,,,,2021-02-24 17:17:36.734128
A990B06,RKP0B06,0,-23.0008573,-43.3637769,2021-02-24 13:18:41,0,,,,2021-02-24 17:17:36.734128
A993745,LTV3745,0,-23.0009735,-43.3645444,2021-02-24 13:10:18,0,,,,2021-02-24 17:17:36.734128
A993300,LLN3300,0,-22.9654981,-43.391862,2021-02-18 14:48:50,0,,,,2021-02-24 17:17:36.734128
A999118,KXE9118,0,-22.9888571,-43.3657576,2021-02-24 13:14:15,0,,,,2021-02-24 17:17:36.734128
A997652,KOW7652,0,-23.0008248,-43.363636,2021-02-24 12:37:09,0,,,,2021-02-24 17:17:36.734128
A990G44,RIP0G44,0,-23.0006621,-43.3637293,2021-02-24 13:18:40,0,,,,2021-02-24 17:17:36.734128
A991F39,LUG1F39,0,-23.0035491,-43.4255246,2021-02-24 13:18:42,0,,,,2021-02-24 17:17:36.734128
A999454,LMI9454,0,-22.994855,-43.3938806,2021-01-09 05:22:09,0,,,,2021-02-24 17:17:36.734128
RIR1A44 MONTANA,,0,-22.9709103,-43.4006138,2020-08-17 16:05:31,0,,,,2021-02-24 17:17:36.734128
A993663,LZR3663,0,-23.0008671,-43.3653493,2021-02-24 12:29:58,0,,,,2021-02-24 17:17:36.734128
A995B95,LUK5B95,0,-22.9951876,-43.3659876,2021-02-24 00:08:35,12,,,,2021-02-24 17:17:36.734128
A991A44,RIR1A44,0,-22.9713928,-43.4005518,2021-02-24 13:16:00,0,,,,2021-02-24 17:17:36.734128
A993221,LTC3221,0,-22.9569718,-43.3905153,2021-02-24 12:50:48,0,,,,2021-02-24 17:17:36.734128
A999798,KWB9798,0,-22.9997623,-43.5821388,2021-02-24 13:05:42,0,,,,2021-02-24 17:17:36.734128
A998168,KRX8168,0,-22.9554395,-43.3774031,2021-02-24 13:18:31,62,,,,2021-02-24 17:17:36.734128
90006,LRH6D12,50,-23.006565,-43.31408,2021-02-24 09:00:24,0,3310,ida,50 - J.OCEÂNICO x TERMINAL OLIMPICO (PARADOR),2021-02-24 17:17:36.734128
A995611,LTL5611,0,-22.7964003,-43.1934658,2021-02-15 19:12:49,0,,,,2021-02-24 17:17:36.734128
A990I24,RKF0I24,0,-22.9656311,-43.3910101,2021-02-24 13:18:39,0,,,,2021-02-24 17:17:36.734128
A995A10,LMX5A10,0,-22.9172578,-43.6081303,2021-02-24 13:17:18,0,,,,2021-02-24 17:17:36.734128
30531,LRC6592,31,-22.964803333333332,-43.391421666666666,2021-02-24 12:40:56,0,3061,ida,31 – ALVORADA X VICENTE DE CARVALHO ( Semi direto ),2021-02-24 17:17:36.734128
A991B50,RKJ1B50,0,-22.9379299,-43.3853383,2021-02-24 12:09:39,0,,,,2021-02-24 17:17:36.734128
86863,LMC1030,13,-22.92001,-43.60753,2021-02-24 13:16:49,0,112,ida,13 - MATO ALTO X ALVORADA ( EXPRESSO ),2021-02-24 17:17:36.734128
A996403,KXM6403,0,-23.000771,-43.363569,2021-02-24 12:50:39,0,,,,2021-02-24 17:17:36.734128
A994036,LUF4036,0,-22.9837009,-43.3655344,2021-02-24 13:17:54,0,,,,2021-02-24 17:17:36.734128
A991B47,RKJ1B47,0,-23.0007361,-43.3636061,2021-02-24 12:59:05,0,,,,2021-02-24 17:17:36.734128
30524,LRC6601,0,-22.964613333333332,-43.39187666666667,2021-02-24 01:40:45,0,,,,2021-02-24 17:17:36.734128
12742 - TESTE Telemetria,,0,-22.878855,-43.341181666666664,2021-02-24 05:15:46,10,,,,2021-02-24 17:17:36.734128
12731 - TESTE Telemetria,,0,-23.000658333333334,-43.36480666666667,2020-12-01 15:39:21,0,,,,2021-02-24 17:17:36.734128
12705 - TESTE telemetria,,40A,-23.002296666666666,-43.366035,2020-12-01 12:01:45,0,8973,volta,40A - ALVORADA X MADUREIRA ( EXPRESSO ),2021-02-24 17:17:36.734128
12714 - TESTE telemetria,,0,-23.001038333333334,-43.367665,2020-12-01 10:54:24,0,,,,2021-02-24 17:17:36.734128
27170,LRK9561,41,-22.878906666666666,-43.34115666666667,2021-02-24 04:13:56,16,3543,volta,41 - TERMINAL MADUREIRA X RECREIO (EXPRESSO),2021-02-24 17:17:36.734128
53687,KWI5768,11N,-22.919758333333334,-43.60830166666667,2021-02-14 04:23:53,0,104,ida,11N - SANTA CRUZ X ALVORADA,2021-02-24 17:17:36.734128
10306,KQP6773,25A,-22.993481666666668,-43.597343333333335,2021-02-24 13:16:35,0,8968,ida,25A -  MATO ALTO X  ALVORADA -  SEMI EXPRESSO,2021-02-24 17:17:36.734128
44710,LRG8850,41,-23.00098,-43.36523666666667,2021-02-24 13:03:39,0,3542,ida,41 - RECREIO X TERMINAL MADUREIRA (EXPRESSO),2021-02-24 17:17:36.734128
6408916 - Dual Chip,,0,-23.001018333333334,-43.366688333333336,2020-11-27 11:22:52,0,,,,2021-02-24 17:17:36.734128
6408068 - Tim,,0,-22.973665,-43.36728333333333,2020-11-26 14:16:12,0,,,,2021-02-24 17:17:36.734128
6408241 Teste VIVO,,0,-23.001088333333332,-43.366681666666665,2020-11-27 11:22:45,0,,,,2021-02-24 17:17:36.734128
6414846,,0,-22.952523333333332,-43.390305,2021-01-08 07:18:57,41,,,,2021-02-24 17:17:36.734128
1629079418,,0,-22.975364,-43.3670856,2021-01-07 14:02:41,0,,,,2021-02-24 17:17:36.734128
1628702482,,0,-22.9754316,-43.3671036,2021-01-07 14:05:44,0,,,,2021-02-24 17:17:36.734128
HONDA XRE - KXT8324,,0,-23.0008685,-43.3636324,2021-02-01 09:18:03,0,,,,2021-02-24 17:17:36.734128
6418931,,0,-22.854238333333335,-43.251668333333335,2020-12-21 09:05:31,0,,,,2021-02-24 17:17:36.734128
6409450,,0,-22.919506666666667,-43.60752,2021-02-18 08:19:01,0,,,,2021-02-24 17:17:36.734128
6411965,,0,-22.916688333333333,-43.60713166666667,2021-02-03 23:51:02,0,,,,2021-02-24 17:17:36.734128
